Total: 120097632 samples
85163960  70.9%  70.9% 85163960  70.9% substr
13714328  11.4%  82.3% 16322880  13.6% Symfony\Component\ErrorHandler\DebugClassLoader::loadClass
    3264   0.0%  99.7%     3264   0.0% Kiwilan\Ebook\Formats\Epub\Parser\OpfItem::findContent
    3240   0.0%  99.7%     3896   0.0% App\Entity\Book::addAuthor
    3136   0.0%  99.7%     3136   0.0% curl_version
    3112   0.0%  99.7%   137636   0.1% include /var/www/html/vendor/symfony/cache/Adapter/AbstractAdapter.php
    3056   0.0%  99.7%     3056   0.0% trim
    3040   0.0%  99.7%     3416   0.0% Doctrine\ORM\EntityManager::Symfony\Component\VarExporter\Internal\{closure}
    2984   0.0%  99.7%    57020   0.0% include /var/www/html/vendor/doctrine/cache/lib/Doctrine/Common/Cache/Psr6/DoctrineProvider.php
    2976   0.0%  99.7%   188624   0.2% Doctrine\Common\Annotations\AnnotationReader::__construct
    2920   0.0%  99.7%     2920   0.0% DateTime::createFromFormat
    2912   0.0%  99.7%     2912   0.0% include_once /var/www/html/vendor/symfony/framework-bundle/Translation/Translator.php
    2896   0.0%  99.7%  9631900   8.0% Symfony\Component\HttpKernel\Kernel::initializeContainer
    2896   0.0%  99.7%    22616   0.0% include /var/www/html/vendor/symfony/console/Style/OutputStyle.php
    2728   0.0%  99.7%    16516   0.0% include /var/www/html/vendor/kiwilan/php-ebook/src/Formats/Epub/EpubModule.php
    2696   0.0%  99.7%    31596   0.0% include /var/www/html/vendor/symfony/console/Input/ArgvInput.php
    2672   0.0%  99.7%     2672   0.0% Doctrine\DBAL\Types\TypeRegistry::register
    2632   0.0%  99.7%     2632   0.0% include_once /var/www/html/vendor/symfony/http-kernel/DataCollector/ConfigDataCollector.php
    2616   0.0%  99.7%     2680   0.0% Symfony\Component\Console\Application::configureIO
    2576   0.0%  99.7%    25096   0.0% Symfony\Component\Cache\Adapter\ArrayAdapter::save
